,아이디,주소,기업성장단계,신규인력_채용의사,구분,신규채용_예상인력,신규채용_박사,신규채용_석사,신규채용_대졸,신규채용_전문대졸,신규채용_고졸이하,지역,업종
844,10570,경기 성남시 분당구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
845,10587,대구 동구,고도성장기,없음,법인,0,0,0,0,0,0,대구/경북,의료/제약
846,10588,경기 안양시 만안구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
847,10600,경남 김해시,고도성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,도소매/연구개발서비스/기타서비스
848,10616,광주 북구,고도성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,통신기기/방송기기
849,10624,서울 강남구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
850,10645,서울 송파구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
851,10649,서울 강남구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
852,10689,서울 강남구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
853,10696,강원 영월군,초기성장기,없음,개인,0,0,0,0,0,0,대전/세종/충청/강원,음식료/섬유/비금속/기타제조
854,10762,서울 강서구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
855,10780,경기 안양시 동안구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
856,10783,서울 구로구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
857,10793,서울 금천구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
858,10796,인천 부평구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
859,10805,충북 진천군,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,음식료/섬유/비금속/기타제조
860,10820,경남 창원시 의창구,성숙기,없음,개인,0,0,0,0,0,0,부산/경남/울산,에너지/화학/정밀
861,10823,서울 금천구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
862,10828,서울 마포구,초기성장기,있음,법인,3,0,0,3,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
863,10835,인천 서구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
864,10847,경기 안양시 동안구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
865,10850,경기 성남시 분당구,성숙기,있음,법인,2,0,0,0,2,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
