,아이디,주소,기업성장단계,신규인력_채용의사,구분,신규채용_예상인력,신규채용_박사,신규채용_석사,신규채용_대졸,신규채용_전문대졸,신규채용_고졸이하,지역,업종
1153,14816,경기 안산시 단원구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
1154,14861,서울 구로구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
1155,14862,대전 유성구,초기성장기,있음,법인,4,0,0,4,0,0,대전/세종/충청/강원,컴퓨터/반도체/전자부품
1156,14863,경기 화성시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
1157,14867,경북 경산시,성숙기,없음,법인,0,0,0,0,0,0,대구/경북,소프트웨어개발/IT기반서비스
1158,14869,경기 수원시 영통구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
1159,14891,인천 서구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
1160,14893,인천 연수구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
1161,14904,서울 성동구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
1162,14907,경기 성남시 중원구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
1163,14928,경기 하남시,창업기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
1164,14952,서울 용산구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
1165,14956,서울 강남구,성숙기,있음,법인,15,0,1,3,2,9,서울/인천/경기,의료/제약
1166,14979,전북 전주시 완산구,고도성장기,있음,법인,4,0,0,2,2,0,광주/전라/제주,의료/제약
1167,14993,서울 강남구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
1168,14995,부산 해운대구,고도성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,정보통신/방송서비스
1169,15016,서울 영등포구,초기성장기,있음,법인,3,0,0,3,0,0,서울/인천/경기,정보통신/방송서비스
1170,15025,경기 김포시,초기성장기,있음,법인,3,0,0,0,0,3,서울/인천/경기,음식료/섬유/비금속/기타제조
1171,15030,대구 수성구,고도성장기,없음,법인,0,0,0,0,0,0,대구/경북,소프트웨어개발/IT기반서비스
1172,15031,경기 성남시 중원구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
1173,15074,경기 성남시 중원구,성숙기,없음,개인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1174,15075,경남 김해시,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,기계/자동차/금속
1175,15081,서울 용산구,성숙기,있음,법인,1,0,0,1,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1176,15100,울산 울주군,고도성장기,있음,법인,10,0,1,5,4,0,부산/경남/울산,기타
1177,15107,부산 강서구,쇠퇴기,있음,개인,4,0,0,0,0,4,부산/경남/울산,음식료/섬유/비금속/기타제조
1178,15133,서울 성동구,고도성장기,없음,개인,0,0,0,0,0,0,서울/인천/경기,의료/제약
1179,15157,경기 수원시 장안구,성숙기,있음,법인,5,0,1,1,3,0,서울/인천/경기,의료/제약
1180,15166,대구 북구,성숙기,없음,법인,0,0,0,0,0,0,대구/경북,컴퓨터/반도체/전자부품
1181,15183,경기 안양시 만안구,고도성장기,있음,법인,5,0,1,2,2,0,서울/인천/경기,의료/제약
1182,15201,경북 구미시,고도성장기,없음,개인,0,0,0,0,0,0,대구/경북,에너지/화학/정밀
1183,15217,서울 금천구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
1184,15218,전북 전주시 덕진구,초기성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,소프트웨어개발/IT기반서비스
1185,15223,전북 익산시,고도성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,컴퓨터/반도체/전자부품
1186,15236,충남 아산시,초기성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,컴퓨터/반도체/전자부품
1187,15240,부산 강서구,성숙기,없음,개인,0,0,0,0,0,0,부산/경남/울산,기계/자동차/금속
1188,15268,강원 원주시,고도성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,의료/제약
1189,15320,충북 음성군,초기성장기,있음,법인,2,0,0,2,0,0,대전/세종/충청/강원,음식료/섬유/비금속/기타제조
1190,15322,대전 유성구,고도성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,음식료/섬유/비금속/기타제조
1191,15336,서울 성동구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
1192,15348,대구 동구,고도성장기,있음,법인,3,0,0,2,1,0,대구/경북,의료/제약
1193,15383,서울 구로구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1194,15389,세종 한누리대로,고도성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,정보통신/방송서비스
1195,15390,경기 남양주시,초기성장기,있음,법인,3,0,0,0,0,3,서울/인천/경기,에너지/화학/정밀
1196,15391,인천 부평구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
1197,15400,서울 금천구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
1198,15407,서울 강남구,고도성장기,있음,법인,10,0,0,5,4,1,서울/인천/경기,기타
1199,15425,경기 안양시 동안구,성숙기,있음,법인,20,0,2,10,5,3,서울/인천/경기,의료/제약
1200,15429,서울 영등포구,성숙기,있음,법인,2,0,0,2,0,0,서울/인천/경기,정보통신/방송서비스
1201,15451,서울 마포구,창업기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
1202,15477,경기 군포시,성숙기,없음,개인,0,0,0,0,0,0,서울/인천/경기,의료/제약
1203,15482,경기 양주시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
1204,15496,울산 남구,고도성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,정보통신/방송서비스
1205,15512,경기 남양주시,창업기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
1206,15556,경기 성남시 중원구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
1207,15588,서울 강남구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
1208,15600,충남 아산시,창업기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,컴퓨터/반도체/전자부품
1209,15640,서울 금천구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1210,15652,서울 강남구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
1211,15686,서울 구로구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1212,15687,경북 포항시 북구,고도성장기,없음,법인,0,0,0,0,0,0,대구/경북,음식료/섬유/비금속/기타제조
1213,15695,경기 평택시,성숙기,있음,법인,10,0,0,10,0,0,서울/인천/경기,통신기기/방송기기
1214,15711,부산 남구,성숙기,있음,법인,5,0,0,3,2,0,부산/경남/울산,의료/제약
1215,15722,서울 구로구,고도성장기,있음,법인,10,1,1,2,4,2,서울/인천/경기,의료/제약
1216,15737,서울 강남구,성숙기,있음,법인,4,0,0,2,2,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1217,15741,서울 영등포구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
1218,15790,서울 관악구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
1219,15794,부산 영도구,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,소프트웨어개발/IT기반서비스
1220,15804,대구 수성구,고도성장기,없음,개인,0,0,0,0,0,0,대구/경북,소프트웨어개발/IT기반서비스
1221,15834,경기 평택시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
1222,15841,경기 안양시 동안구,초기성장기,있음,법인,3,0,0,3,0,0,서울/인천/경기,정보통신/방송서비스
1223,15890,서울 송파구,고도성장기,있음,법인,1,0,0,0,1,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
1224,15900,경기 수원시 권선구,성숙기,없음,개인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1225,15922,대전 유성구,고도성장기,있음,법인,3,0,0,3,0,0,대전/세종/충청/강원,도소매/연구개발서비스/기타서비스
1226,15938,대전 서구,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,도소매/연구개발서비스/기타서비스
1227,15943,강원 강릉시,고도성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,소프트웨어개발/IT기반서비스
1228,15963,경기 성남시 분당구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1229,15982,충남 아산시,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,컴퓨터/반도체/전자부품
1230,15995,부산 북구,성숙기,있음,법인,5,0,0,2,2,1,부산/경남/울산,기타
1231,16011,서울 마포구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
1232,16028,경기 성남시 분당구,성숙기,있음,법인,3,0,0,1,2,0,서울/인천/경기,기타
1233,16031,경기 성남시 분당구,고도성장기,있음,법인,2,0,0,2,0,0,서울/인천/경기,정보통신/방송서비스
1234,16037,서울 구로구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
1235,16040,경북 구미시,성숙기,없음,법인,0,0,0,0,0,0,대구/경북,컴퓨터/반도체/전자부품
1236,16046,경기 시흥시,성숙기,있음,법인,5,0,0,5,0,0,서울/인천/경기,에너지/화학/정밀
1237,16071,경남 창원시 의창구,고도성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,정보통신/방송서비스
1238,16075,경북 칠곡군,쇠퇴기,있음,개인,2,0,0,0,2,0,대구/경북,기계/자동차/금속
1239,16079,경북 경산시,고도성장기,없음,법인,0,0,0,0,0,0,대구/경북,기계/자동차/금속
1240,16118,경기 용인시 수지구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1241,16119,서울 구로구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1242,16147,서울 영등포구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1243,16148,경기 부천시,성숙기,있음,개인,1,0,0,1,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
1244,16161,경기 안양시 동안구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
1245,16176,경기 수원시 권선구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
1246,16184,경기 안양시 동안구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1247,16196,서울 서초구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
1248,16209,서울 강남구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
1249,16243,경북 칠곡군,성숙기,있음,법인,1,0,0,0,0,1,대구/경북,음식료/섬유/비금속/기타제조
1250,16262,서울 강남구,고도성장기,있음,법인,10,0,0,5,5,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1251,16290,경기 안산시 단원구,고도성장기,있음,법인,2,0,0,0,0,2,서울/인천/경기,컴퓨터/반도체/전자부품
1252,16294,대구 수성구,고도성장기,없음,개인,0,0,0,0,0,0,대구/경북,소프트웨어개발/IT기반서비스
1253,16312,부산 서구,고도성장기,있음,법인,3,0,0,3,0,0,부산/경남/울산,정보통신/방송서비스
1254,16317,충남 아산시,고도성장기,있음,개인,4,0,0,2,1,1,대전/세종/충청/강원,컴퓨터/반도체/전자부품
1255,16318,경기 안양시 동안구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
1256,16337,경기 성남시 중원구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
1257,16347,대구 달서구,성숙기,없음,법인,0,0,0,0,0,0,대구/경북,기계/자동차/금속
1258,16353,서울 금천구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
1259,16363,서울 금천구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1260,16376,서울 강남구,성숙기,있음,법인,5,0,0,3,2,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1261,16388,경기 수원시 영통구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
1262,16395,경남 창원시 의창구,초기성장기,있음,법인,4,0,0,4,0,0,부산/경남/울산,정보통신/방송서비스
1263,16418,인천 연수구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
1264,16458,경기 안양시 동안구,초기성장기,없음,개인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
1265,16463,서울 성동구,초기성장기,있음,법인,10,0,0,5,0,5,서울/인천/경기,음식료/섬유/비금속/기타제조
1266,16517,서울 금천구,초기성장기,있음,법인,3,0,0,3,0,0,서울/인천/경기,에너지/화학/정밀
1267,16528,경기 성남시 중원구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
1268,16529,서울 금천구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1269,16531,서울 송파구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1270,16540,인천 남동구,성숙기,있음,법인,1,0,0,1,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
1271,16541,경북 구미시,초기성장기,없음,개인,0,0,0,0,0,0,대구/경북,컴퓨터/반도체/전자부품
1272,16583,경기 성남시 중원구,성숙기,있음,법인,15,0,2,10,3,0,서울/인천/경기,의료/제약
1273,16584,서울 중구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1274,16636,부산 동구,고도성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,통신기기/방송기기
1275,16643,대구 중구,성숙기,없음,개인,0,0,0,0,0,0,대구/경북,기타
1276,16653,인천 남동구,고도성장기,있음,법인,1,0,0,0,0,1,서울/인천/경기,기계/자동차/금속
1277,16657,인천 서구,성숙기,있음,법인,2,0,0,1,1,0,서울/인천/경기,기타
1278,16661,부산 사상구,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,기계/자동차/금속
1279,16664,전남 여수시,고도성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,기계/자동차/금속
1280,16669,경기 안산시 단원구,성숙기,있음,법인,3,0,0,1,1,1,서울/인천/경기,기타
1281,16682,제주 서귀포시,초기성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,기계/자동차/금속
1282,16683,제주 서귀포시,고도성장기,있음,법인,1,0,0,0,1,0,광주/전라/제주,도소매/연구개발서비스/기타서비스
1283,16689,제주 제주시,성숙기,없음,법인,0,0,0,0,0,0,광주/전라/제주,소프트웨어개발/IT기반서비스
1284,16704,서울 마포구,성숙기,있음,법인,2,0,0,0,2,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
1285,16717,대구 달서구,성숙기,없음,법인,0,0,0,0,0,0,대구/경북,기계/자동차/금속
1286,16721,경남 양산시,고도성장기,있음,개인,1,0,0,0,0,1,부산/경남/울산,컴퓨터/반도체/전자부품
1287,16727,충남 홍성군,고도성장기,있음,법인,3,0,0,1,2,0,대전/세종/충청/강원,기타
1288,16736,경남 창원시 성산구,성숙기,없음,개인,0,0,0,0,0,0,부산/경남/울산,기타
1289,16737,경남 진주시,성숙기,있음,법인,1,0,0,0,0,1,부산/경남/울산,에너지/화학/정밀
1290,16770,전북 완주군,쇠퇴기,없음,법인,0,0,0,0,0,0,광주/전라/제주,의료/제약
1291,16800,전북 전주시 덕진구,고도성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,도소매/연구개발서비스/기타서비스
1292,16801,경기 화성시,고도성장기,없음,개인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
1293,16820,대구 달서구,고도성장기,없음,법인,0,0,0,0,0,0,대구/경북,에너지/화학/정밀
1294,16829,충북 청주시 상당구,성숙기,있음,법인,4,0,1,1,0,2,대전/세종/충청/강원,기계/자동차/금속
1295,16842,부산 해운대구,초기성장기,있음,개인,2,0,0,1,1,0,부산/경남/울산,도소매/연구개발서비스/기타서비스
1296,16847,부산 강서구,고도성장기,있음,법인,2,0,0,0,0,2,부산/경남/울산,음식료/섬유/비금속/기타제조
1297,16861,경기 시흥시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
1298,16868,서울 금천구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
1299,16869,부산 강서구,고도성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,기계/자동차/금속
1300,16882,서울 성동구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
1301,16925,서울 서초구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1302,16926,경기 남양주시,성숙기,없음,개인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
1303,16968,서울 송파구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
1304,16978,인천 부평구,고도성장기,없음,개인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1305,16980,대전 대덕구,초기성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,컴퓨터/반도체/전자부품
1306,16990,경북 의성군,고도성장기,없음,법인,0,0,0,0,0,0,대구/경북,음식료/섬유/비금속/기타제조
1307,17035,경남 양산시,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,기계/자동차/금속
1308,17048,충남 아산시,성숙기,있음,법인,15,0,0,5,5,5,대전/세종/충청/강원,기타
1309,17049,인천 미추홀구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
1310,17060,울산 북구,초기성장기,있음,법인,3,0,0,0,0,3,부산/경남/울산,기계/자동차/금속
1311,17078,대전 유성구,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,소프트웨어개발/IT기반서비스
1312,17091,전북 군산시,고도성장기,있음,법인,5,0,0,0,0,5,광주/전라/제주,에너지/화학/정밀
1313,17094,대전 유성구,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,소프트웨어개발/IT기반서비스
1314,17108,서울 종로구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
1315,17137,부산 강서구,고도성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,기계/자동차/금속
1316,17166,대구 달성군,쇠퇴기,없음,개인,0,0,0,0,0,0,대구/경북,음식료/섬유/비금속/기타제조
1317,17169,대구 달성군,초기성장기,없음,법인,0,0,0,0,0,0,대구/경북,컴퓨터/반도체/전자부품
1318,17174,광주 북구,고도성장기,있음,법인,6,0,0,6,0,0,광주/전라/제주,음식료/섬유/비금속/기타제조
1319,17191,경기 수원시 영통구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
1320,17215,광주 광산구,고도성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,기계/자동차/금속
1321,17225,충북 청주시 흥덕구,고도성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,음식료/섬유/비금속/기타제조
1322,17232,경기 평택시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
1323,17241,울산 북구,쇠퇴기,없음,개인,0,0,0,0,0,0,부산/경남/울산,음식료/섬유/비금속/기타제조
1324,17244,전북 전주시 완산구,성숙기,없음,법인,0,0,0,0,0,0,광주/전라/제주,기타
1325,17296,경기 군포시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
1326,17302,서울 영등포구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
1327,17313,대전 유성구,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,에너지/화학/정밀
1328,17335,경기 남양주시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
1329,17348,경기 김포시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
1330,17366,경기 안성시,성숙기,없음,개인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
1331,17459,강원 강릉시,성숙기,없음,개인,0,0,0,0,0,0,대전/세종/충청/강원,기타
1332,17471,경북 경산시,초기성장기,없음,법인,0,0,0,0,0,0,대구/경북,에너지/화학/정밀
1333,17483,경북 구미시,초기성장기,있음,개인,2,0,0,1,0,1,대구/경북,에너지/화학/정밀
1334,17492,강원 춘천시,고도성장기,있음,법인,2,0,0,2,0,0,대전/세종/충청/강원,에너지/화학/정밀
1335,17583,경기 파주시,성숙기,없음,개인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
1336,17595,서울 서초구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
1337,17596,경기 안산시 단원구,고도성장기,있음,법인,2,0,0,0,0,2,서울/인천/경기,기계/자동차/금속
1338,17604,경남 창녕군,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,컴퓨터/반도체/전자부품
1339,17613,전남 무안군,초기성장기,없음,개인,0,0,0,0,0,0,광주/전라/제주,정보통신/방송서비스
1340,17631,경북 구미시,고도성장기,없음,법인,0,0,0,0,0,0,대구/경북,기계/자동차/금속
1341,17723,대구 동구,성숙기,있음,개인,1,0,0,0,1,0,대구/경북,도소매/연구개발서비스/기타서비스
1342,17724,경기 하남시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
1343,17735,전남 여수시,고도성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,기계/자동차/금속
1344,17742,제주 서귀포시,초기성장기,없음,개인,0,0,0,0,0,0,광주/전라/제주,의료/제약
1345,17750,서울 영등포구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
1346,17751,대전 유성구,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,통신기기/방송기기
1347,17755,경기 안양시 동안구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1348,17798,강원 태백시,성숙기,있음,법인,3,0,0,0,3,0,대전/세종/충청/강원,기타
1349,17799,경기 화성시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
1350,17801,경기 화성시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
1351,17834,충북 청주시 흥덕구,성숙기,있음,법인,15,1,2,5,3,4,대전/세종/충청/강원,의료/제약
1352,17845,광주 광산구,성숙기,없음,법인,0,0,0,0,0,0,광주/전라/제주,기계/자동차/금속
1353,17847,광주 광산구,고도성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,기계/자동차/금속
1354,17853,대전 유성구,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,도소매/연구개발서비스/기타서비스
1355,17854,경기 파주시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
1356,17860,경기 화성시,성숙기,없음,개인,0,0,0,0,0,0,서울/인천/경기,의료/제약
1357,17865,경남 김해시,고도성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,기계/자동차/금속
1358,17866,경기 고양시 일산동구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
1359,17899,경기 안양시 만안구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
1360,17913,충남 예산군,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,음식료/섬유/비금속/기타제조
1361,17923,경북 성주군,성숙기,없음,법인,0,0,0,0,0,0,대구/경북,에너지/화학/정밀
1362,17957,경기 시흥시,성숙기,있음,법인,2,0,0,2,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
1363,17959,부산 강서구,고도성장기,있음,법인,2,0,0,1,1,0,부산/경남/울산,기타
1364,17994,경기 성남시 중원구,초기성장기,있음,법인,3,0,0,0,3,0,서울/인천/경기,에너지/화학/정밀
1365,18055,서울 관악구,초기성장기,있음,법인,4,0,0,4,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
1366,18094,경기 파주시,초기성장기,없음,개인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
1367,18140,인천 남동구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
1368,18141,서울 동대문구,고도성장기,있음,법인,2,0,1,1,0,0,서울/인천/경기,의료/제약
1369,18159,충북 진천군,고도성장기,있음,법인,2,0,0,0,0,2,대전/세종/충청/강원,기계/자동차/금속
1370,18177,인천 계양구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기타
1371,18265,충북 충주시,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,음식료/섬유/비금속/기타제조
1372,18266,광주 광산구,성숙기,있음,법인,5,0,0,5,0,0,광주/전라/제주,통신기기/방송기기
1373,18298,부산 사하구,고도성장기,있음,법인,3,0,0,3,0,0,부산/경남/울산,에너지/화학/정밀
1374,18315,전북 군산시,성숙기,없음,법인,0,0,0,0,0,0,광주/전라/제주,기계/자동차/금속
1375,18319,인천 서구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
1376,18333,부산 기장군,고도성장기,있음,법인,1,0,0,0,0,1,부산/경남/울산,음식료/섬유/비금속/기타제조
1377,18352,경북 영천시,성숙기,있음,법인,1,0,0,1,0,0,대구/경북,컴퓨터/반도체/전자부품
1378,18355,부산 동래구,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,도소매/연구개발서비스/기타서비스
1379,18396,경남 거제시,고도성장기,있음,법인,2,0,0,2,0,0,부산/경남/울산,음식료/섬유/비금속/기타제조
1380,18433,경남 양산시,성숙기,있음,법인,4,0,0,2,2,0,부산/경남/울산,의료/제약
1381,18444,서울 금천구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
1382,18447,부산 사상구,고도성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,통신기기/방송기기
1383,18530,서울 영등포구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1384,18539,경기 수원시 영통구,초기성장기,없음,개인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
1385,18623,경남 진주시,성숙기,없음,개인,0,0,0,0,0,0,부산/경남/울산,기계/자동차/금속
1386,18639,서울 금천구,성숙기,있음,법인,3,0,0,3,0,0,서울/인천/경기,정보통신/방송서비스
1387,18659,부산 동구,쇠퇴기,없음,개인,0,0,0,0,0,0,부산/경남/울산,기계/자동차/금속
